date,avg,min,max
20140430,113,98,145
20140501,134,89,185
20140502,103,69,127
20140503,85,28,137
20140504,85,9,136
20140505,140,55,198
20140506,148,112,179
20140507,131,109,163
20140508,126,115,141
20140509,124,87,155
20140510,120,103,154
20140511,111,96,124
20140512,113,75,149
20140513,104,48,143
20140514,94,33,143
20140515,97,33,155
20140516,117,31,187
20140517,138,51,206
20140518,166,76,229
20140519,192,109,254
20140520,198,144,263
20140521,179,123,209
20140522,182,152,227
20140523,165,129,210
20140524,157,105,206
20140525,156,112,207
20140526,160,98,217
20140527,153,140,167
20140528,142,125,161
20140529,114,96,125
20140530,126,48,180
20140531,128,61,184
20140601,133,71,184
20140602,139,63,203
20140603,147,85,202
20140604,147,120,189
20140605,133,93,174
20140606,166,70,232
20140607,196,119,277
20140608,196,141,251
20140609,218,159,270
20140610,187,128,238
20140611,165,108,207
20140612,171,98,227
20140613,171,97,215
20140614,155,123,185
20140615,148,100,184
20140616,146,109,176
20140617,151,113,184
20140618,150,88,197
20140619,143,114,161
20140620,139,85,177
20140621,154,82,206
20140622,149,84,202
20140623,161,84,214
20140624,165,117,217
20140625,140,81,188
20140626,162,104,212
20140627,174,127,214
20140628,167,130,202
20140629,153,109,186
20140630,143,96,184
20140701,141,79,190
20140702,150,80,207
20140703,192,98,258
20140704,228,146,300
20140705,196,167,225
20140706,184,148,242
20140707,174,132,222
20140708,149,137,161
20140709,154,135,172
20140710,204,171,250
20140711,187,168,224
20140712,187,163,225
20140713,181,147,221
20140714,177,139,215
20140715,178,141,228
20140716,196,132,254
20140717,218,152,276
20140718,255,170,319
20140719,266,191,345
20140720,208,166,244
20140721,189,171,205
20140722,227,187,270
20140723,234,185,291
20140724,218,169,273
20140725,191,157,234
20140726,208,165,252
20140727,203,164,261
20140728,196,163,239
20140729,203,151,237
20140730,177,133,226
20140731,198,130,258
20140801,202,141,261
20140802,214,153,277
20140803,197,147,245
20140804,179,118,229
20140805,188,118,245
20140806,187,170,207
20140807,189,148,232
20140808,190,151,213
20140809,191,159,229
20140810,190,163,218
20140811,176,150,213
20140812,170,143,205
20140813,174,137,209
20140814,166,124,207
20140815,159,124,199
20140816,162,124,181
20140817,157,125,181
20140818,145,96,179
20140819,126,86,164
20140820,129,84,174
20140821,139,72,180
20140822,137,101,176
20140823,127,94,172
20140824,128,81,175
20140825,136,82,168
20140826,141,111,165
20140827,152,52,208
20140828,171,113,211
20140829,174,146,206
20140830,164,138,186
20140831,145,106,190
20140901,161,102,211
20140902,176,137,218
20140903,168,120,218
20140904,179,118,228
20140905,190,162,230
20140906,170,133,199
20140907,166,115,216
20140908,143,89,198
20140909,148,103,175
20140910,149,94,190
20140911,151,79,207
20140912,155,77,211
20140913,167,116,215
20140914,156,104,207
20140915,161,86,229
20140916,174,114,242
20140917,183,115,252
20140918,193,124,262
20140919,179,140,228
20140920,177,130,233
20140921,160,131,188
20140922,135,76,172
20140923,134,71,189
20140924,137,110,160
20140925,147,87,175
20140926,161,123,203
20140927,153,92,204
20140928,163,101,221
20140929,166,121,190
20140930,162,127,197
20141001,169,116,212
20141002,157,106,189
20141003,152,83,221
20141004,161,123,217
20141005,128,77,162
20141006,138,122,152
