title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
La haine,98,Crime; Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel; Hubert Koundé; Saïd Taghmaoui,8.1,97887
Dog Day Afternoon,125,Crime; Drama,Sidney Lumet,Frank Pierson; P.F. Kluge,Al Pacino; John Cazale; Penelope Allen,8.1,174496
De grote illusie,114,Drama; War,Jean Renoir,Charles Spaak; Jean Renoir,Jean Gabin; Dita Parlo; Pierre Fresnay,8.2,25085
Kumonosu-jô,110,Drama,Akira Kurosawa,Hideo Oguni; Shinobu Hashimoto,Toshirô Mifune; Minoru Chiaki; Isuzu Yamada,8.1,29261
Fanny och Alexander,188,Drama,Ingmar Bergman,Ingmar Bergman,Bertil Guve; Pernilla Allwin; Kristina Adolphson,8.1,41084
Yip Man,106,Action; Biography; Drama; Sport,Wilson Yip,Edmond Wong; Chan Tai-Li,Donnie Yen; Simon Yam; Siu-Wong Fan,8.1,154009
Prisoners,153,Crime; Drama; Mystery; Thriller,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman; Jake Gyllenhaal; Viola Davis,8.1,353735
The Imitation Game,114,Biography; Drama; Thriller; War,Morten Tyldum,Graham Moore; Andrew Hodges,Benedict Cumberbatch; Keira Knightley; Matthew Goode,8.1,411582
The King's Speech,118,Biography; Drama; History,Tom Hooper,David Seidler,Colin Firth; Geoffrey Rush; Helena Bonham Carter,8,474881
Guardians of the Galaxy,121,Action; Adventure; Sci-Fi,James Gunn,James Gunn; Nicole Perlman,Chris Pratt; Vin Diesel; Bradley Cooper,8.1,610635
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action; Adventure; Fantasy,Gore Verbinski,Ted Elliott; Terry Rossio,Johnny Depp; Geoffrey Rush; Orlando Bloom,8.1,770399
Klokslag 12,85,Western,Fred Zinnemann,Carl Foreman; John W. Cunningham,Gary Cooper; Grace Kelly; Thomas Mitchell,8.1,76610
Per un pugno di dollari,99,Action; Drama; Western,Sergio Leone,Adriano Bolzoni; Víctor Andrés Catena,Clint Eastwood; Gian Maria Volontè; Marianne Koch,8,137127
The Help,146,Drama,Tate Taylor,Tate Taylor; Kathryn Stockett,Emma Stone; Viola Davis; Octavia Spencer,8.1,303132
Roman Holiday,118,Comedy; Romance,William Wyler,Ian McLellan Hunter; John Dighton,Gregory Peck; Audrey Hepburn; Eddie Albert,8.1,94755
Tenkû no shiro Rapyuta,125,Animation; Adventure; Family; Fantasy,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin; James Van Der Beek; Cloris Leachman,8.1,92603
Notorious,101,Drama; Film-Noir; Romance; Thriller,Alfred Hitchcock,Ben Hecht,Cary Grant; Ingrid Bergman; Claude Rains,8.1,70896
Wie is bang voor Virginia Woolf?,131,Drama,Mike Nichols,Ernest Lehman,Elizabeth Taylor; Richard Burton; George Segal,8.1,53833
Catch Me If You Can,141,Biography; Crime; Drama,Steven Spielberg,Jeff Nathanson; Frank Abagnale Jr.,Leonardo DiCaprio; Tom Hanks; Christopher Walken,8,479292
Anatomy of a Murder,160,Crime; Drama; Mystery; Thriller,Otto Preminger,Wendell Mayes; John D. Voelker,James Stewart; Lee Remick; Ben Gazzara,8.1,44588
Belle en het Beest,84,Animation; Family; Fantasy; Musical; Romance,Gary Trousdale; Kirk Wise,Linda Woolverton; Brenda Chapman,Paige O'Hara; Robby Benson; Jesse Corti,8,290725
Bom yeoreum gaeul gyeoul geurigo bom,103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim; Yeong-su Oh; Jong-ho Kim,8.1,60081
The Night of the Hunter,92,Crime; Drama; Film-Noir; Thriller,Charles Laughton; Robert Mitchum,Davis Grubb; James Agee,Robert Mitchum; Shelley Winters; Lillian Gish,8.1,62365
Before Sunset,80,Drama; Romance,Richard Linklater,Richard Linklater; Julie Delpy,Ethan Hawke; Julie Delpy; Vernon Dobtcheff,8,159907
Underground,170,Comedy; Drama; War,Emir Kusturica,Dusan Kovacevic; Emir Kusturica,Predrag Manojlovic; Lazar Ristovski; Mirjana Jokovic,8.1,42692
La dolce vita,174,Comedy; Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Marcello Mastroianni; Anita Ekberg; Anouk Aimée,8.1,47028
Queen,146,Adventure; Comedy; Drama,Vikas Bahl,Vikas Bahl; Chaitally Parmar,Kangana Ranaut; Rajkummar Rao; Lisa Haydon,8.4,37919
Akira,124,Animation; Action; Sci-Fi,Katsuhiro Ôtomo,Katsuhiro Ôtomo; Izô Hashimoto,Nozomu Sasaki; Mami Koyama; Mitsuo Iwata,8.1,99451
